id|points
E14000622|[[1.3117225458675275, 68.19637934240295], [1.4007209262821125, 68.35052696792425], [1.578720521976999, 68.35052696792425], [1.6677178536551445, 68.19637934240295], [1.578720521976999, 68.04222473622953], [1.4007209262821125, 68.04222473622953], [1.3117225458675275, 68.19637934240295]]
E14000933|[[1.3117225458675275, 67.84037979051001], [1.4007209262821125, 67.99453154543117], [1.578720521976999, 67.99453154543117], [1.6677178536551445, 67.84037979051001], [1.578720521976999, 67.68622926457674], [1.4007209262821125, 67.68622926457674], [1.3117225458675275, 67.84037979051001]]
E14000898|[[1.3117225458675275, 67.48438297516371], [1.4007209262821125, 67.6385333863915], [1.578720521976999, 67.6385333863915], [1.6677178536551445, 67.48438297516371], [1.578720521976999, 67.33023089251255], [1.4007209262821125, 67.33023089251255], [1.3117225458675275, 67.48438297516371]]
E14000711|[[1.3117225458675275, 67.12838620897713], [1.4007209262821125, 67.28253812776336], [1.578720521976999, 67.28253812776336], [1.6677178536551445, 67.12838620897713], [1.578720521976999, 66.97423579774932], [1.4007209262821125, 66.97423579774932], [1.3117225458675275, 67.12838620897713]]
E14000700|[[1.3117225458675275, 66.77238932808493], [1.4007209262821125, 66.92653985401776], [1.578720521976999, 66.92653985401776], [1.6677178536551445, 66.77238932808493], [1.578720521976999, 66.61823731097951], [1.4007209262821125, 66.61823731097951], [1.3117225458675275, 66.77238932808493]]
E14000704|[[1.3117225458675275, 66.4163940202972], [1.4007209262821125, 66.57054443152471], [1.578720521976999, 66.57054443152471], [1.6677178536551445, 66.4163940202972], [1.578720521976999, 66.2622417737807], [1.4007209262821125, 66.2622417737807], [1.3117225458675275, 66.4163940202972]]
E14000848|[[1.0091249980130372, 69.79836216840198], [1.0981225918752886, 69.9525127434947], [1.2761219417725689, 69.9525127434947], [1.365120535211747, 69.79836216840198], [1.2761219417725689, 69.64421319918716], [1.0981225918752886, 69.64421319918716], [1.0091249980130372, 69.79836216840198]]
E14000981|[[1.0091249980130372, 69.44236684422809], [1.0981225918752886, 69.59651741932052], [1.2761219417725689, 69.59651741932052], [1.365120535211747, 69.44236684422809], [1.2761219417725689, 69.28821481073622], [1.0981225918752886, 69.28821481073622], [1.0091249980130372, 69.44236684422809]]
E14000761|[[1.0091249980130372, 69.08636847216376], [1.0981225918752886, 69.24051921112124], [1.2761219417725689, 69.24051921112124], [1.365120535211747, 69.08636847216376], [1.2761219417725689, 68.93221665169641], [1.0981225918752886, 68.93221665169641], [1.0091249980130372, 69.08636847216376]]
E14000642|[[1.0091249980130372, 68.73037300051082], [1.0981225918752886, 68.88452508316225], [1.2761219417725689, 68.88452508316225], [1.365120535211747, 68.73037300051082], [1.2761219417725689, 68.57622118004362], [1.0981225918752886, 68.57622118004362], [1.0091249980130372, 68.73037300051082]]
E14000594|[[1.0091249980130372, 68.37437489063058], [1.0981225918752886, 68.52852551488274], [1.2761219417725689, 68.52852551488274], [1.365120535211747, 68.37437489063058], [1.2761219417725689, 68.22022302100393], [1.0981225918752886, 68.22022302100393], [1.0091249980130372, 68.37437489063058]]
E14000544|[[1.0091249980130372, 68.01837940259148], [1.0981225918752886, 68.17252874869617], [1.2761219417725689, 68.17252874869617], [1.365120535211747, 68.01837940259148], [1.2761219417725689, 67.86422754935114], [1.0981225918752886, 67.86422754935114], [1.0091249980130372, 68.01837940259148]]
E14000995|[[1.0091249980130372, 67.66238124355151], [1.0981225918752886, 67.81653193334985], [1.2761219417725689, 67.81653193334985], [1.365120535211747, 67.66238124355151], [1.2761219417725689, 67.50822937392488], [1.0981225918752886, 67.50822937392488], [1.0091249980130372, 67.66238124355151]]
