gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-17,0,1,0.949730551,0.688962368,0.441466892,0.205959064,0.110637675,0.049961578,1,1,2633,Tennessee,91.34,South,2,124
mens,2019-03-17,0,1,0.939970362,0.690616653,0.397819681,0.166888801,0.07863054,0.040263546,1,1,130,Michigan,91.04,West,2,60
mens,2019-03-17,0,1,0.906052267,0.65279069,0.343234274,0.141908692,0.056599768,0.025134251,1,1,2641,Texas Tech,89.65,West,3,52
mens,2019-03-17,0,1,0.880954341,0.506146028,0.248497224,0.102969987,0.052164143,0.022143848,1,1,2509,Purdue,89.04,South,3,116
mens,2019-03-17,0,1,0.888465655,0.617061364,0.18760744,0.102882901,0.044885236,0.019744379,1,1,259,Virginia Tech,89.26,East,4,12
mens,2019-03-17,0,1,0.774212863,0.491551426,0.209451877,0.10957863,0.045057709,0.018024566,1,1,2,Auburn,89.02,Midwest,5,72
mens,2019-03-17,0,1,0.891457523,0.532146811,0.234664774,0.095596543,0.034666721,0.012343065,1,1,248,Houston,87.89,Midwest,3,84
mens,2019-03-17,0,1,0.790291943,0.536401098,0.153841659,0.072654049,0.027064807,0.011332289,1,1,52,Florida State,88.44,West,4,44
mens,2019-03-17,0,1,0.825215986,0.382696173,0.156335057,0.079138098,0.027770796,0.009591773,1,1,2305,Kansas,86.3,Midwest,4,76
mens,2019-03-17,0,1,0.672818443,0.328697223,0.145097609,0.059168841,0.022819593,0.008601678,1,1,66,Iowa State,86.12,Midwest,6,80
mens,2019-03-17,0,1,0.600613747,0.330328696,0.088253984,0.037995757,0.018055747,0.007172099,1,1,275,Wisconsin,86.54,South,5,104
mens,2019-03-17,0,1,0.752671355,0.390544905,0.148670882,0.048236918,0.020356284,0.007164059,1,1,222,Villanova,86.96,South,6,112
mens,2019-03-17,0,1,0.766624334,0.409934254,0.10153103,0.041188869,0.018410351,0.006868083,1,1,2306,Kansas State,86.65,South,4,108
mens,2019-03-17,0,1,0.844167126,0.496374731,0.15815622,0.037550595,0.013304632,0.004850845,1,1,99,Louisiana State,86.37,East,3,20
mens,2019-03-17,0,1,0.676901805,0.228691031,0.109691831,0.036514807,0.014440923,0.004761315,1,1,2132,Cincinnati,85.44,South,7,120
mens,2019-03-17,0,1,0.677598713,0.194237036,0.108269952,0.0288227,0.010861943,0.004186768,1,1,97,Louisville,85.9,East,7,24
mens,2019-03-17,0,1,0.577826724,0.183307318,0.096080611,0.036146004,0.011279618,0.004049154,1,1,2440,Nevada,86.11,West,7,56
mens,2019-03-17,0,1,0.646456053,0.324224606,0.129199265,0.038565464,0.012034486,0.003912188,1,1,120,Maryland,84.82,East,6,16
